FlightID,FlightNumber,Origin,Destination,AircraftID,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival
F00060,AI834,DDB,XFU,A009,2025-01-03 12:00:00,2025-01-03 13:00:00,2025-01-03 15:00:00,2025-01-03 16:34:00
F00061,AI213,DOC,FUO,A005,2025-01-03 13:00:00,2025-01-03 14:05:00,2025-01-03 16:00:00,2025-01-03 17:06:00
F00062,AI787,PVI,SUQ,A007,2025-01-03 14:00:00,2025-01-03 14:38:00,2025-01-03 17:00:00,2025-01-03 18:12:00
F00063,AI653,SUQ,WIO,A001,2025-01-03 15:00:00,2025-01-03 15:44:00,2025-01-03 18:00:00,2025-01-03 19:06:00
F00064,AI582,SUQ,SUQ,A006,2025-01-03 16:00:00,2025-01-03 16:10:00,2025-01-03 19:00:00,2025-01-03 19:58:00
F00065,AI144,PVI,PVI,A004,2025-01-03 17:00:00,2025-01-03 17:10:00,2025-01-03 20:00:00,2025-01-03 20:27:00
F00066,AI422,FOL,JIQ,A007,2025-01-03 18:00:00,2025-01-03 18:46:00,2025-01-03 21:00:00,2025-01-03 22:07:00
F00067,AI961,DDB,DOC,A004,2025-01-03 19:00:00,2025-01-03 20:03:00,2025-01-03 22:00:00,2025-01-03 22:19:00
F00068,AI965,MHH,NBX,A000,2025-01-03 20:00:00,2025-01-03 20:15:00,2025-01-03 23:00:00,2025-01-04 00:12:00
F00069,AI125,NBX,FUO,A006,2025-01-03 21:00:00,2025-01-03 21:48:00,2025-01-04 00:00:00,2025-01-04 01:29:00
F00070,AI422,SSB,JIQ,A000,2025-01-03 22:00:00,2025-01-03 22:50:00,2025-01-04 01:00:00,2025-01-04 02:28:00
F00071,AI502,GBR,ZWZ,A007,2025-01-03 23:00:00,2025-01-04 00:02:00,2025-01-04 02:00:00,2025-01-04 02:43:00
F00072,AI228,IGE,VAZ,A001,2025-01-04 00:00:00,2025-01-04 00:27:00,2025-01-04 03:00:00,2025-01-04 03:14:00
F00073,AI883,DIX,WIO,A002,2025-01-04 01:00:00,2025-01-04 01:25:00,2025-01-04 04:00:00,2025-01-04 04:26:00
F00074,AI750,FOL,PVI,A004,2025-01-04 02:00:00,2025-01-04 02:14:00,2025-01-04 05:00:00,2025-01-04 06:21:00
F00075,AI381,FOL,DIX,A005,2025-01-04 03:00:00,2025-01-04 03:51:00,2025-01-04 06:00:00,2025-01-04 07:12:00
F00076,AI516,DOC,MHH,A004,2025-01-04 04:00:00,2025-01-04 04:52:00,2025-01-04 07:00:00,2025-01-04 07:33:00
F00077,AI786,DOC,IGE,A009,2025-01-04 05:00:00,2025-01-04 06:08:00,2025-01-04 08:00:00,2025-01-04 08:17:00
F00078,AI245,XFU,HCU,A002,2025-01-04 06:00:00,2025-01-04 06:41:00,2025-01-04 09:00:00,2025-01-04 09:32:00
F00079,AI709,GBR,DDB,A007,2025-01-04 07:00:00,2025-01-04 08:06:00,2025-01-04 10:00:00,2025-01-04 10:40:00
F00080,AI251,MHH,DOC,A007,2025-01-04 08:00:00,2025-01-04 08:11:00,2025-01-04 11:00:00,2025-01-04 12:30:00
F00081,AI513,DDB,SUQ,A000,2025-01-04 09:00:00,2025-01-04 09:11:00,2025-01-04 12:00:00,2025-01-04 12:37:00
F00082,AI987,PVI,NBX,A009,2025-01-04 10:00:00,2025-01-04 10:49:00,2025-01-04 13:00:00,2025-01-04 13:57:00
F00083,AI413,XFU,HCU,A005,2025-01-04 11:00:00,2025-01-04 11:51:00,2025-01-04 14:00:00,2025-01-04 14:21:00
F00084,AI623,ZWZ,SSB,A002,2025-01-04 12:00:00,2025-01-04 13:07:00,2025-01-04 15:00:00,2025-01-04 16:37:00
F00085,AI161,IGE,DDB,A006,2025-01-04 13:00:00,2025-01-04 13:45:00,2025-01-04 16:00:00,2025-01-04 17:28:00
F00086,AI266,DOC,FUO,A000,2025-01-04 14:00:00,2025-01-04 14:48:00,2025-01-04 17:00:00,2025-01-04 17:40:00
F00087,AI228,MHH,VAZ,A004,2025-01-04 15:00:00,2025-01-04 16:05:00,2025-01-04 18:00:00,2025-01-04 18:44:00
F00088,AI237,HCU,MHH,A002,2025-01-04 16:00:00,2025-01-04 16:21:00,2025-01-04 19:00:00,2025-01-04 20:04:00
F00089,AI592,XFU,WIO,A009,2025-01-04 17:00:00,2025-01-04 17:56:00,2025-01-04 20:00:00,2025-01-04 21:31:00
F00090,AI822,MHH,PVI,A002,2025-01-04 18:00:00,2025-01-04 18:28:00,2025-01-04 21:00:00,2025-01-04 21:45:00
F00091,AI757,SUQ,SUQ,A001,2025-01-04 19:00:00,2025-01-04 19:37:00,2025-01-04 22:00:00,2025-01-04 23:21:00
F00092,AI833,SSB,SSB,A006,2025-01-04 20:00:00,2025-01-04 20:10:00,2025-01-04 23:00:00,2025-01-05 00:09:00
F00093,AI882,ZWZ,FOL,A008,2025-01-04 21:00:00,2025-01-04 21:24:00,2025-01-05 00:00:00,2025-01-05 00:47:00
F00094,AI840,NBX,NBX,A007,2025-01-04 22:00:00,2025-01-04 22:45:00,2025-01-05 01:00:00,2025-01-05 02:18:00
F00095,AI147,FUO,VAZ,A008,2025-01-04 23:00:00,2025-01-05 00:03:00,2025-01-05 02:00:00,2025-01-05 03:03:00
F00096,AI847,WIO,SUQ,A002,2025-01-05 00:00:00,2025-01-05 00:22:00,2025-01-05 03:00:00,2025-01-05 03:23:00
F00097,AI943,XCV,FOL,A006,2025-01-05 01:00:00,2025-01-05 02:07:00,2025-01-05 04:00:00,2025-01-05 04:29:00
F00098,AI632,SUQ,DIX,A005,2025-01-05 02:00:00,2025-01-05 02:52:00,2025-01-05 05:00:00,2025-01-05 05:18:00
F00099,AI144,FUO,DDB,A002,2025-01-05 03:00:00,2025-01-05 03:30:00,2025-01-05 06:00:00,2025-01-05 07:31:00
F00100,AI943,WIO,IGE,A008,2025-01-05 04:00:00,2025-01-05 04:21:00,2025-01-05 07:00:00,2025-01-05 08:19:00
F00101,AI668,HCU,XCV,A005,2025-01-05 05:00:00,2025-01-05 05:14:00,2025-01-05 08:00:00,2025-01-05 08:11:00
F00102,AI807,DIX,FUO,A009,2025-01-05 06:00:00,2025-01-05 06:16:00,2025-01-05 09:00:00,2025-01-05 09:39:00
F00103,AI862,DIX,WIO,A002,2025-01-05 07:00:00,2025-01-05 07:14:00,2025-01-05 10:00:00,2025-01-05 10:15:00
F00104,AI814,SSB,HCU,A001,2025-01-05 08:00:00,2025-01-05 08:57:00,2025-01-05 11:00:00,2025-01-05 12:30:00
F00105,AI746,VAZ,WIO,A001,2025-01-05 09:00:00,2025-01-05 10:02:00,2025-01-05 12:00:00,2025-01-05 12:50:00
F00106,AI496,HCU,IGE,A003,2025-01-05 10:00:00,2025-01-05 10:13:00,2025-01-05 13:00:00,2025-01-05 13:32:00
F00107,AI284,SUQ,DOC,A001,2025-01-05 11:00:00,2025-01-05 11:22:00,2025-01-05 14:00:00,2025-01-05 14:40:00
F00108,AI452,WIO,ZWZ,A003,2025-01-05 12:00:00,2025-01-05 12:46:00,2025-01-05 15:00:00,2025-01-05 15:29:00
F00109,AI919,DOC,NBX,A007,2025-01-05 13:00:00,2025-01-05 14:02:00,2025-01-05 16:00:00,2025-01-05 16:14:00
F00110,AI699,JIQ,FUO,A003,2025-01-05 14:00:00,2025-01-05 14:50:00,2025-01-05 17:00:00,2025-01-05 17:30:00
F00111,AI932,NBX,MHH,A000,2025-01-05 15:00:00,2025-01-05 15:24:00,2025-01-05 18:00:00,2025-01-05 19:24:00
F00112,AI184,VAZ,DIX,A006,2025-01-05 16:00:00,2025-01-05 16:25:00,2025-01-05 19:00:00,2025-01-05 20:17:00
F00113,AI182,SUQ,FUO,A005,2025-01-05 17:00:00,2025-01-05 17:30:00,2025-01-05 20:00:00,2025-01-05 21:36:00
F00114,AI673,SUQ,JIQ,A004,2025-01-05 18:00:00,2025-01-05 18:45:00,2025-01-05 21:00:00,2025-01-05 22:10:00
F00115,AI278,GBR,IGE,A005,2025-01-05 19:00:00,2025-01-05 20:08:00,2025-01-05 22:00:00,2025-01-05 22:51:00
F00116,AI932,DOC,SSB,A009,2025-01-05 20:00:00,2025-01-05 20:33:00,2025-01-05 23:00:00,2025-01-05 23:50:00
F00117,AI371,SSB,XFU,A004,2025-01-05 21:00:00,2025-01-05 21:25:00,2025-01-06 00:00:00,2025-01-06 01:10:00
F00118,AI306,GBR,PVI,A007,2025-01-05 22:00:00,2025-01-05 22:23:00,2025-01-06 01:00:00,2025-01-06 02:31:00
F00119,AI919,PVI,FUO,A008,2025-01-05 23:00:00,2025-01-06 00:03:00,2025-01-06 02:00:00,2025-01-06 03:01:00
F00120,AI367,VAZ,XFU,A000,2025-01-06 00:00:00,2025-01-06 00:31:00,2025-01-06 03:00:00,2025-01-06 03:50:00
F00121,AI435,DIX,SUQ,A004,2025-01-06 01:00:00,2025-01-06 01:58:00,2025-01-06 04:00:00,2025-01-06 05:09:00
F00122,AI817,MHH,SSB,A007,2025-01-06 02:00:00,2025-01-06 02:59:00,2025-01-06 05:00:00,2025-01-06 05:39:00
F00123,AI825,XCV,DDB,A006,2025-01-06 03:00:00,2025-01-06 03:15:00,2025-01-06 06:00:00,2025-01-06 06:47:00
F00124,AI359,PVI,CSV,A003,2025-01-06 04:00:00,2025-01-06 04:51:00,2025-01-06 07:00:00,2025-01-06 08:38:00
F00125,AI901,XFU,MHH,A007,2025-01-06 05:00:00,2025-01-06 05:45:00,2025-01-06 08:00:00,2025-01-06 08:26:00
F00126,AI365,NBX,WIO,A000,2025-01-06 06:00:00,2025-01-06 06:10:00,2025-01-06 09:00:00,2025-01-06 09:49:00
F00127,AI629,NBX,XCV,A008,2025-01-06 07:00:00,2025-01-06 07:41:00,2025-01-06 10:00:00,2025-01-06 10:39:00
F00128,AI567,MHH,DIX,A009,2025-01-06 08:00:00,2025-01-06 08:15:00,2025-01-06 11:00:00,2025-01-06 12:15:00
F00129,AI258,XCV,WIO,A006,2025-01-06 09:00:00,2025-01-06 09:40:00,2025-01-06 12:00:00,2025-01-06 12:33:00
F00130,AI874,PVI,DDB,A005,2025-01-06 10:00:00,2025-01-06 10:10:00,2025-01-06 13:00:00,2025-01-06 14:22:00
F00131,AI559,HCU,GBR,A003,2025-01-06 11:00:00,2025-01-06 11:59:00,2025-01-06 14:00:00,2025-01-06 14:10:00
F00132,AI665,JIQ,GBR,A009,2025-01-06 12:00:00,2025-01-06 13:00:00,2025-01-06 15:00:00,2025-01-06 16:37:00
F00133,AI256,WIO,WIO,A005,2025-01-06 13:00:00,2025-01-06 13:46:00,2025-01-06 16:00:00,2025-01-06 16:47:00
F00134,AI139,WIO,SSB,A004,2025-01-06 14:00:00,2025-01-06 14:44:00,2025-01-06 17:00:00,2025-01-06 18:13:00
F00135,AI747,DIX,DIX,A002,2025-01-06 15:00:00,2025-01-06 15:58:00,2025-01-06 18:00:00,2025-01-06 18:36:00
F00136,AI699,XCV,NBX,A002,2025-01-06 16:00:00,2025-01-06 16:39:00,2025-01-06 19:00:00,2025-01-06 20:39:00
F00137,AI281,ZWZ,XFU,A004,2025-01-06 17:00:00,2025-01-06 17:13:00,2025-01-06 20:00:00,2025-01-06 21:39:00
F00138,AI756,IGE,GBR,A003,2025-01-06 18:00:00,2025-01-06 18:44:00,2025-01-06 21:00:00,2025-01-06 21:16:00
F00139,AI624,ZWZ,WIO,A001,2025-01-06 19:00:00,2025-01-06 19:52:00,2025-01-06 22:00:00,2025-01-06 23:38:00
F00140,AI134,XFU,CSV,A005,2025-01-06 20:00:00,2025-01-06 20:23:00,2025-01-06 23:00:00,2025-01-07 00:29:00
F00141,AI875,DDB,MHH,A006,2025-01-06 21:00:00,2025-01-06 21:58:00,2025-01-07 00:00:00,2025-01-07 00:51:00
F00142,AI423,FOL,DDB,A002,2025-01-06 22:00:00,2025-01-06 22:49:00,2025-01-07 01:00:00,2025-01-07 01:27:00
F00143,AI937,FOL,VAZ,A004,2025-01-06 23:00:00,2025-01-06 23:31:00,2025-01-07 02:00:00,2025-01-07 03:30:00
F00144,AI173,JIQ,WIO,A004,2025-01-07 00:00:00,2025-01-07 00:19:00,2025-01-07 03:00:00,2025-01-07 03:53:00
F00145,AI297,VAZ,XCV,A009,2025-01-07 01:00:00,2025-01-07 01:10:00,2025-01-07 04:00:00,2025-01-07 05:19:00
F00146,AI763,SSB,MHH,A002,2025-01-07 02:00:00,2025-01-07 02:20:00,2025-01-07 05:00:00,2025-01-07 05:29:00
F00147,AI910,FOL,PVI,A006,2025-01-07 03:00:00,2025-01-07 04:00:00,2025-01-07 06:00:00,2025-01-07 06:32:00
F00148,AI567,MHH,IGE,A000,2025-01-07 04:00:00,2025-01-07 04:53:00,2025-01-07 07:00:00,2025-01-07 07:21:00
F00149,AI725,CSV,VAZ,A001,2025-01-07 05:00:00,2025-01-07 06:08:00,2025-01-07 08:00:00,2025-01-07 08:21:00
F00150,AI344,GBR,XFU,A002,2025-01-07 06:00:00,2025-01-07 06:33:00,2025-01-07 09:00:00,2025-01-07 09:43:00
F00151,AI931,MHH,DDB,A006,2025-01-07 07:00:00,2025-01-07 08:09:00,2025-01-07 10:00:00,2025-01-07 10:17:00
F00152,AI569,WIO,VAZ,A006,2025-01-07 08:00:00,2025-01-07 08:12:00,2025-01-07 11:00:00,2025-01-07 11:36:00
F00153,AI634,VAZ,PVI,A001,2025-01-07 09:00:00,2025-01-07 10:07:00,2025-01-07 12:00:00,2025-01-07 12:58:00
F00154,AI263,NBX,NBX,A001,2025-01-07 10:00:00,2025-01-07 10:44:00,2025-01-07 13:00:00,2025-01-07 14:21:00
F00155,AI826,ZWZ,XCV,A009,2025-01-07 11:00:00,2025-01-07 11:45:00,2025-01-07 14:00:00,2025-01-07 15:04:00
F00156,AI441,XCV,HCU,A003,2025-01-07 12:00:00,2025-01-07 12:40:00,2025-01-07 15:00:00,2025-01-07 16:32:00
F00157,AI770,XFU,ZWZ,A008,2025-01-07 13:00:00,2025-01-07 14:09:00,2025-01-07 16:00:00,2025-01-07 17:37:00
F00158,AI238,FOL,GBR,A001,2025-01-07 14:00:00,2025-01-07 14:13:00,2025-01-07 17:00:00,2025-01-07 17:31:00
F00159,AI587,PVI,FUO,A003,2025-01-07 15:00:00,2025-01-07 15:28:00,2025-01-07 18:00:00,2025-01-07 18:12:00
F00160,AI890,DOC,CSV,A005,2025-01-07 16:00:00,2025-01-07 16:56:00,2025-01-07 19:00:00,2025-01-07 19:18:00
F00161,AI669,WIO,ZWZ,A007,2025-01-07 17:00:00,2025-01-07 17:45:00,2025-01-07 20:00:00,2025-01-07 20:20:00
F00162,AI158,SUQ,PVI,A008,2025-01-07 18:00:00,2025-01-07 18:30:00,2025-01-07 21:00:00,2025-01-07 21:15:00
F00163,AI656,XCV,PVI,A009,2025-01-07 19:00:00,2025-01-07 19:27:00,2025-01-07 22:00:00,2025-01-07 22:48:00
F00164,AI184,SSB,PVI,A001,2025-01-07 20:00:00,2025-01-07 21:00:00,2025-01-07 23:00:00,2025-01-07 23:48:00
F00165,AI940,DOC,ZWZ,A002,2025-01-07 21:00:00,2025-01-07 21:37:00,2025-01-08 00:00:00,2025-01-08 01:15:00
F00166,AI630,SUQ,SUQ,A002,2025-01-07 22:00:00,2025-01-07 22:24:00,2025-01-08 01:00:00,2025-01-08 02:09:00
F00167,AI451,NBX,XCV,A009,2025-01-07 23:00:00,2025-01-07 23:51:00,2025-01-08 02:00:00,2025-01-08 02:46:00
F00168,AI102,GBR,DOC,A009,2025-01-08 00:00:00,2025-01-08 01:08:00,2025-01-08 03:00:00,2025-01-08 03:15:00
F00169,AI932,JIQ,FOL,A009,2025-01-08 01:00:00,2025-01-08 01:11:00,2025-01-08 04:00:00,2025-01-08 04:15:00
F00170,AI893,SSB,FUO,A000,2025-01-08 02:00:00,2025-01-08 02:46:00,2025-01-08 05:00:00,2025-01-08 05:48:00
F00171,AI181,HCU,NBX,A007,2025-01-08 03:00:00,2025-01-08 03:20:00,2025-01-08 06:00:00,2025-01-08 06:45:00
F00172,AI206,ZWZ,XCV,A004,2025-01-08 04:00:00,2025-01-08 04:32:00,2025-01-08 07:00:00,2025-01-08 08:38:00
F00173,AI537,XCV,MHH,A003,2025-01-08 05:00:00,2025-01-08 05:53:00,2025-01-08 08:00:00,2025-01-08 08:59:00
F00174,AI722,FOL,SSB,A008,2025-01-08 06:00:00,2025-01-08 06:50:00,2025-01-08 09:00:00,2025-01-08 10:29:00
F00175,AI460,DDB,DIX,A000,2025-01-08 07:00:00,2025-01-08 07:21:00,2025-01-08 10:00:00,2025-01-08 11:34:00
F00176,AI683,CSV,GBR,A007,2025-01-08 08:00:00,2025-01-08 08:12:00,2025-01-08 11:00:00,2025-01-08 11:19:00
F00177,AI562,HCU,HCU,A001,2025-01-08 09:00:00,2025-01-08 10:01:00,2025-01-08 12:00:00,2025-01-08 12:14:00
F00178,AI443,DIX,DIX,A000,2025-01-08 10:00:00,2025-01-08 10:26:00,2025-01-08 13:00:00,2025-01-08 13:59:00
F00179,AI953,DDB,XCV,A000,2025-01-08 11:00:00,2025-01-08 11:42:00,2025-01-08 14:00:00,2025-01-08 14:34:00
F00180,AI487,XFU,PVI,A009,2025-01-08 12:00:00,2025-01-08 13:04:00,2025-01-08 15:00:00,2025-01-08 15:12:00
F00181,AI624,FUO,JIQ,A003,2025-01-08 13:00:00,2025-01-08 13:10:00,2025-01-08 16:00:00,2025-01-08 17:33:00
F00182,AI470,ZWZ,IGE,A002,2025-01-08 14:00:00,2025-01-08 14:48:00,2025-01-08 17:00:00,2025-01-08 17:13:00
F00183,AI961,CSV,XFU,A007,2025-01-08 15:00:00,2025-01-08 15:29:00,2025-01-08 18:00:00,2025-01-08 19:27:00
F00184,AI982,WIO,CSV,A003,2025-01-08 16:00:00,2025-01-08 16:56:00,2025-01-08 19:00:00,2025-01-08 19:21:00
F00185,AI751,ZWZ,IGE,A008,2025-01-08 17:00:00,2025-01-08 17:52:00,2025-01-08 20:00:00,2025-01-08 20:23:00
F00186,AI221,FOL,WIO,A004,2025-01-08 18:00:00,2025-01-08 19:01:00,2025-01-08 21:00:00,2025-01-08 22:31:00
F00187,AI239,DDB,SSB,A009,2025-01-08 19:00:00,2025-01-08 20:06:00,2025-01-08 22:00:00,2025-01-08 22:36:00
F00188,AI424,DDB,XCV,A009,2025-01-08 20:00:00,2025-01-08 20:50:00,2025-01-08 23:00:00,2025-01-09 00:20:00
F00189,AI123,FUO,FOL,A001,2025-01-08 21:00:00,2025-01-08 21:23:00,2025-01-09 00:00:00,2025-01-09 00:57:00
F00190,AI286,VAZ,VAZ,A002,2025-01-08 22:00:00,2025-01-08 22:40:00,2025-01-09 01:00:00,2025-01-09 01:31:00
F00191,AI851,NBX,MHH,A005,2025-01-08 23:00:00,2025-01-08 23:34:00,2025-01-09 02:00:00,2025-01-09 02:30:00
F00192,AI228,WIO,NBX,A008,2025-01-09 00:00:00,2025-01-09 00:12:00,2025-01-09 03:00:00,2025-01-09 03:52:00
F00193,AI119,FOL,MHH,A000,2025-01-09 01:00:00,2025-01-09 01:13:00,2025-01-09 04:00:00,2025-01-09 05:07:00
